id;PRODUCTO;TIPO DE PRODUCCIÓN;TÍTULO;AUTOR;FUENTE;AÑO;IDIOMA;REFERENCIA APA;BASES DE DATOS;INGRESADO;ACCESO ABIERTO;INDEXADO;ENLACE
;Ponencia;;A critical and decolonial approach to English language teaching and learning in Colombia: What teacher educators can learn from indigenous students;Janeth María Ortiz Medina;International and Interdisciplinary Colloquium: Education, Languages, and Culture, DILTEC.;2017;Inglés;;;;;No;
;Ponencia;;Exploring the possibilities of critical peace education for Colombian English teachers;Janeth María Ortiz Medina;52nd ASOCOPI Annual Congress: ¿ELT Classroom Practices and The Construction of Peace And Social Justice;2017;Inglés;;;;;No;
;Ponencia;;Sin registro;Nelly Sierra Ospina;TESOL Symposium. Ponencia;;;;;;;No;
;Ponencia;;Sin registro;Nelly Sierra Ospina;Fifth International Conference on Language Teacher Education. Ponencia: SIN REGISTRO;;;;;;;No;
;Ponencia;;Sin registro;Nelly Sierra Ospina;42nd Annual TESOL Convention. Ponencia: SIN REGISTRO;;;;;;;No;
;Ponencia;;Sin registro;Nelly Sierra Ospina;4to Seminario Internacional de Desarrollo Profesional de los Docentes de Lenguas Extranjeras. Ponencia: SIN REGISTRO;;;;;;;No;
;Ponencia;;Sin registro;Nelly Sierra Ospina;45th ASOCOPI Annual Conference. Ponencia: SIN REGISTRO;;;;;;;No;
;Ponencia;;Sin registro;Nelly Sierra Ospina;47th ASOCOPI Annual Conference.  Ponencia: SIN REGISTRO;;;;;;;No;
;Ponencia;;Sin registro;Nelly Sierra Ospina;Multidisciplinary Approaches in Language Policy and Planning Conference. Ponencia: SIN REGISTRO;;;;;;;No;
;Ponencia;;Sin registro;Nelly Sierra Ospina;I Congreso Internacional de Teoría Crítica. Ponencia: SIN REGISTRO;;;;;;;No;
;Ponencia;;Sin registro;Nelly Sierra Ospina;Educación en Contextos Rurales Narrativas de Escuela Nueva. Ponencia: SIN REGISTRO;;;;;;;No;
;Ponencia;;Sin registro;Nelly Sierra Ospina;VII Congresso Latino-americano de Formação de Professores de Línguas. Ponencia: SIN REGISTRO;;;;;;;No;
;Ponencia;;¿Discurso especializado en la prensa? Hacia una caracterización de la terminología de la pobreza en la prensa en Colombia;Gabriel Ángel Quiroz Herrera;XVI Simposio de la Red Iberoamericana de Terminología (RITERM);;Español;;;;;No;
;Ponencia;;An analysis of students oral discourse in web-based environments: assessing the effects of learning tasks on language accuracy, correction strategies and students repairs;Jorge Eduardo Pineda Hoyos;8 International Conference on Education and New Learning Technologies (EDULEARN16);;Inglés;;;;;No;
;Ponencia;;Learning English at a distance: Exploring the effects of local context on the design, implementation and the learning outcomes of a local experience of learning English;Jorge Eduardo Pineda Hoyos;CALL in context: 18th international CALL research conference.;;Inglés;;;;;No;
;Ponencia;;Enrique Uribe White y la crítica de traducciones en Colombia;Juan Guillermo Ramírez Giraldo;XI Congresso Internacional da Abrapt e V Congresso Internacional de Tradutore;;Español;;;;;No;
;Ponencia;;Configuración de una historia de la traducción en Colombia: cuestiones metodo lógicas, problemas y resultados;Juan Guillermo Ramírez Giraldo;Coloquio internacional Historia de la traducción en Hispanoamérica: mediación lingüística y contactos culturales;;Español;;;;;No;
;Ponencia;;Writing with an Academic Voice: Challenges Faced by an ESL Nontraditional Student and her Instructors;Doris Margarita Correa Ríos;American Educational Research Association - AERA Conference, Chicago;2007;Inglés;;;;;No;
;Ponencia;;No Language Learner Left Behind: An Analysis of Title III Funded Teacher Education Programs;Doris Margarita Correa Ríos;American Educational Research Association - AERA Conference. San Diego, California;2004;Inglés;;;;;No;
;Ponencia;;Developing an academic voice: the struggles of one ESL non-traditional student and her instructors;Doris Margarita Correa Ríos;XIV Round Table on Applied Linguistics Issues, Medellín;2009;Inglés;;;;;No;
;Ponencia;;The commodification of women's breasts in Colombia: A linguistic landscape study;Doris Margarita Correa Ríos;6th Linguistic Landscapes Conference, Cape Town;2014;Inglés;;;;;No;
;Ponencia;;Involving students in the design of the curriculum and the solution of the problem;Doris Margarita Correa Ríos;33rd ASOCOPI Annual Conference, Centro Colombo Americano, Medellín;1998;Inglés;;;;;No;
;Ponencia;;Expanding the research on commodification of women's bodies: Internet sites as modes of delivery to local and transnational audiences;Doris Margarita Correa Ríos;7th Linguistic Landscape Conference, Berkeley, CA - University of California Berkeley;2015;Inglés;;;;;No;
;Ponencia;;Dilemmas and contradictions faced by universities regarding foreign language education policies: The case of Colombia;Doris Margarita Correa Ríos;AILA World Congress, Brisbane;2014;Inglés;;;;;No;
;Ponencia;;A Grammar Course Analysis;Doris Margarita Correa Ríos;Third Round Table on Applied Linguistics Issues, Bogotá;1999;Inglés;;;;;No;
;Ponencia;;Climbing up the Ladder, Opening up the Gates: A Study of Latino Paraprofessionals in Search for Professional Developmen;Doris Margarita Correa Ríos;Annual Conference on Ethnographic and Qualitative Research in Education EQRE. Pittsburg, New Jersey - University of Pittsburg;2002;Inglés;;;;;No;
;Ponencia;;Sin registro;Doris Margarita Correa Ríos;Symposium on Second Language Writing-Practicing Theory in Second Language Writing, West Lafayette, Indiana - University of Purdue;;Inglés;;;;;No;
;Ponencia;;Journals Are So Annoying! A Study of a Cambodian-American Student Resistance to Reflective Dialogue Journal Writing;Doris Margarita Correa Ríos;13th Annual NAME International Conference. Seatlle, Washington;2002;Inglés;;;;;No;
;Ponencia;;ESL Latino Paraprofessionals Negotiating Institutional Double-binds;Doris Margarita Correa Ríos;37th Annual TESOL Convention. Baltimore, Maryland   - Centro de Convenciones;2003;Inglés;;;;;No;
;Ponencia;;On Making Language Visible: Mutual Learning in a Professional Development Alliance;Doris Margarita Correa Ríos;American Educational Research Association - AERA Conference. New York   - Hotel Sheraton;2008;Inglés;;;;;No;
;Ponencia;;From Whole Language to Multicultural Education: A Reflection on Five Pedagogies and How They Can Help Improve EFL Teacher Education Programs in Colombi;Doris Margarita Correa Ríos;Sexto Encuentro de Universidades Formadoras de Licenciados en Idiomas. Bogotá;2009;Inglés;;;;;No;
;Ponencia;;Teachers appropriating reform: The experience in three public schools and what we can learn from them;Doris Margarita Correa Ríos;III Seminario Internacional de Desarrollo Profesional de los Docentes en Lenguas Extranjeras. Universidad de Antioquia - Medellín;2010;Inglés;;;;;No;
;Ponencia;;Using Systemic Functional Linguistics theories to teach academic writing in FL Teacher Preparation Programs: Usefulness and limitations;Doris Margarita Correa Ríos;45th ASOCOPI Annual Conference. Universidad Simón Bolivar de Barranquilla  - Barranquilla;2010;Inglés;;;;;No;
;Ponencia;;National Program of Bilingualism in Colombia: From Foreign Language Policy Borrowing to Local Appropriation and Enactment;Doris Margarita Correa Ríos;16th World Congress of Applied Linguistics AILA. Beijing;2011;Inglés;;;;;No;
;Ponencia;;Studying Systemic Functional Linguistics as a Means to Improving our EFL Writing Teaching Practices: Possibilities and Limitations;Doris Margarita Correa Ríos;16th World Congress of Applied Linguistics AILA. Beijing;2011;Inglés;;;;;No;
;Ponencia;;What Doing Systemic Functional Linguistics Analysis of Our EFL Students' Texts Can Show Us About Our Ways of Scaffolding and Providing Feedback on Writing;Doris Margarita Correa Ríos;46th ASOCOPI Annual Conference. Bogotá;2011;Inglés;;;;;No;
;Ponencia;;Dilemmas and Contradictions Faced by Colombian Higher Education Institutions Regarding Foreign Language Education Policie;Doris Margarita Correa Ríos;5to Seminario Internacional de Desarrollo Profesional de Docentes de Lenguas Extranjeras. Medellín;2014;Inglés;;;;;No;
;Ponencia;;Special Session Ministerio de Educaciòn Nacional's new policy for language teacher education program;Doris Margarita Correa Ríos;50th ASOCOPI Annual Conference. Universidad EAFIT - Cali;2015;Inglés;;;;;No;
;Ponencia;;Historical overview of achievements and challenges of Colombian national foreign language education policies since the 90s;Doris Margarita Correa Ríos;Maestría en Enseñanza del Inglés. Universidad del Norte - Barranquilla;2016;Inglés;;;;;No;
;Ponencia;;Traces of coloniality in Colombia¿s linguistic landscape: A multimodal analysis of English learning advertisements;Doris Margarita Correa Ríos;52th ASOCOPI Annual Conference. Berna   - University of Bern;2018;Inglés;;;;;No;
;Ponencia;;Using a Systemic Functional Genre-Based Approach to Promote a Situated View of Academic Writing Among EFL Pre-service Teachers;Doris Margarita Correa Ríos;XXIII SYMPOSIUM ON RESEARCH IN APPLIED LINGUISTICS & V INTERNATIONAL SYMPOSIUM ON LITERACIES AND DISCOURSE STUDIE. Universidad Distrital - Bogotá;2017;Inglés;;;;;No;
;Ponencia;;Traces of coloniality in Colombia's LL: A multimodal analysis of English learning advertisements;Doris Margarita Correa Ríos;10th Linguistic Landscape Workshop. University of Bern - Berna;2018;Inglés;;;;;No;
;Ponencia;;Non-native English teachers and native English teachers representations in Colombian newspaper: a critical discourse analysis;Doris Margarita Correa Ríos;18th AILA world Congress. Río de Janeiro   - Barra Windsor Hotel;2017;Inglés;;;;;No;
;Ponencia;;Traces of coloniality in Colombia's Linguistic Landscape;Doris Margarita Correa Ríos;53th ASOCOPI Annual Conference. Universidad Tecnológica de Bolívar - Cartagena de Indias;2018;Inglés;;;;;No;
;Ponencia;;Sin registro;Juan Felipe Zuluaga Molina;Seminario: El estatus del traductor en Colombia. Universidad Nacional de Colombia, Bogotá;2014;;;;;;No;
;Ponencia;;Sin registro;Juan Felipe Zuluaga Molina;Seminario: El estatus del traductor en Colombia. Universidad Nacional de Colombia, Bogotá;2014;;;;;;No;
;Ponencia;;Sin registro;Juan Felipe Zuluaga Molina;XI Coloquio Internacional sobre investigación en Lenguas Extranjeras. Universidad Nacional de Colombia, Bogotá;2019;;;;;;No;
;Ponencia;;Sin registro;Juan Felipe Zuluaga Molina;III Coloquio Internacional - La traducción especializada. Universidad EAN, Bogotá;2014;;;;;;No;
;Ponencia;;Sin registro;Juan Felipe Zuluaga Molina;Seminario de investigación en traductología. Universidad de Antioquia, Medellín;2014;;;;;;No;
;Ponencia;;Sin registro;Juan Felipe Zuluaga Molina;Coloquio Internacional de Español como Lengua Extranjera PUCV 2020: Perspectivas y Proyecciones en Metodología e Investigación. Pontificia Universidad Católica de Valparaíso;2020;;;;;;No;
;Ponencia;;¿Discurso especializado en la prensa? Hacia una caracterización de la terminología de la pobreza en la prensa en Colombia?;Gabriel Ángel Quiroz Herrera;XVI Simposio de la Red Iberoamericana de Terminología (RITERM);2018;Español;;;;;No;
;Ponencia;;¿Discurso especializado en la prensa? Hacia una caracterización de la terminología de la pobreza en la prensa en Colombia?;Juan Felipe Zuluaga Molina;XVI Simposio de la Red Iberoamericana de Terminología (RITERM);2018;Español;;;;;No;
;Ponencia;;An analysis of students oral discourse in web-based environments: assessing the effects of learning tasks on language accuracy, correction strategies and students repairs;Jorge Eduardo Pineda Hoyos;8 International Conference on Education and New Learning Technologies (EDULEARN16), Barcelona;2016;Inglés;;;;;No;
;Ponencia;;English at a distance: Exploring the effects of local context on the design, implementation and the learning outcomes of a local experience of learning English;Jorge Eduardo Pineda Hoyos;CALL in context: 18th international CALL research conference, UC Berkeley;2017;Inglés;;;;;No;
;Ponencia;;Sin registro;Antonio Jesús Tamayo Herrera;Segundo encuentro de investigación. Escuela de Idiomas, Universidad de Antioquia;2012;;;;;;No;
;Ponencia;;Sin registro;Antonio Jesús Tamayo Herrera;Congreso internacional de investigación lingüística;;;;;;;No;
;Ponencia;;CorpusTNT Web Application;Antonio Jesús Tamayo Herrera;Internal conference under the LIAS project, Universidad de Bergen, Noruega.;2013;Inglés;;;;;No;
;Ponencia;;Análisis de sentimientos a nivel de documento en un corpus de pobreza en Colombia: contraste de aspectos lingüísticos a partir de resultados obtenidos con modelos de aprendizaje automático;Antonio Jesús Tamayo Herrera;Seminario sobre pobreza, lenguaje y medios;;Español;;;;;No;
;Ponencia;;Twitter vs. Prensa - Análisis de la producción léxica - Clasificación automática de twits sobre pobreza con modelos de aprendizaje automático;Antonio Jesús Tamayo Herrera;Big Data & Analytics Experience Conference - II Congreso Internacional Big Data;2016;Inglés;;;;;No;
;Ponencia;;Sin registro;Antonio Jesús Tamayo Herrera;Seminario Internacional, Universidad Federal de Integración Latinoamericana (UNILA);;;;;;;No;
;Ponencia;;Sin registro;Antonio Jesús Tamayo Herrera;Exposición de trabajos sobresalientes de la facultad de ingeniería;;;;;;;No;
;Ponencia;;Sin registro;Antonio Jesús Tamayo Herrera;Big Data & Analytics Experience Conference;;;;;;;No;
;Ponencia;;The Specialization of Media Discourse: The case of Abbrevations in Latin-American Press covering the topic of Poverty;Antonio Jesús Tamayo Herrera;NorLARNet Conference 2016 Latin America Researh for a Troubled World;2016;Inglés;;;;;No;
;Ponencia;;Metodología para el Análisis Automático de Sentimientos en Documentos a partir de Técnicas de Aprendizaje Automático y Lingüísitca Computaciona;Antonio Jesús Tamayo Herrera;3a Jornada Académica de Posgrados - Muestra de trabajos de investigación y tesis;;Español;;;;;No;
;Ponencia;;Machine Learning-Oriented Definition of Linguistics Features for Document-Level Sentiment Analysis in Spanish;Antonio Jesús Tamayo Herrera;Congreso Internacional de Lingüística Computacional y de Corpus;;Inglés;;;;;No;
;Ponencia;;Banco de Herramientas TNT: una plataforma para el procesamiento de corpus y otras tareas;Antonio Jesús Tamayo Herrera;Congreso Internacional de Lingüística Computacional y de Corpus;;Español;;;;;No;
;Ponencia;;¿Discurso especializado en la prensa? Hacia una caracterización de la terminología de la pobreza en la prensa en Colombia;Antonio Jesús Tamayo Herrera;XVI Simposio de la Red Iberoamericana de Terminología (RITERM);;Español;;;;;No;
;Ponencia;;Video Vignete discussion: Native Speaker Teacher vs. Non Native Speaker Teacher;Carmen Helena Guerrero Nieto;VII Encuentro de Universidades Formadoras de Licenciados en Idiomas.;;Inglés;;;;;No;
;Ponencia;;Voices of teachers about Colombian educational policies: the illusion of democracy?;Carmen Helena Guerrero Nieto;AAAL Conference;;Inglés;;;;;No;
;Ponencia;;Intercultural competence in Second Language Teacher Education: Creating Deterretorialized Spaces;Carmen Helena Guerrero Nieto;Fourth CERCLL International Conference;;Inglés;;;;;No;
;Ponencia;;Classroom encounters with varieties of English: constraints and possibilities;Carmen Helena Guerrero Nieto;International Society for Language Studies;;Inglés;;;;;No;
;Ponencia;;Matches and mismatches between official and teachers' discourses about educational policies in Colombia;Carmen Helena Guerrero Nieto;International Society for Language Studies;;Inglés;;;;;No;
;Ponencia;;Realidades de la educación bilingüe en Colombia: Una perspectiva crítica;Carmen Helena Guerrero Nieto;1er Encuentro Regional de Lenguas;;Español;;;;;No;
;Ponencia;;Classroom encounters with varieties of English: constraints and possibilities;Carmen Helena Guerrero Nieto;47th ASOCOPI Annual Conference;;Inglés;;;;;No;
;Ponencia;;Silent voices that make educational policies work: A bottom up perspective about teachers´classroom micro practice;Carmen Helena Guerrero Nieto;International Society for Language Studies;;Inglés;;;;;No;
;Ponencia;;Educational Policy in Colombia: the Co-construction of Visions on Education through the Interaction between On-line Media and Its Users;Carmen Helena Guerrero Nieto;AAAL Conference;;Inglés;;;;;No;
;Ponencia;;E challenge of being an English teacher in Colombia today;Carmen Helena Guerrero Nieto;8th Symposium on Foreign Language Teaching and Research;;Inglés;;;;;No;
;Ponencia;;Encontrándole sentido a los mitos alrededor de la dirección de trabajos de grado;Carmen Helena Guerrero Nieto;VII Encuentro de Universidades Formadoras de Licenciados en Idiomas;;Español;;;;;No;
;Ponencia;;Globalization (or rather Westernization?): Is there any room for local knowledge?;Carmen Helena Guerrero Nieto;Second Asian Conference on Education;;Inglés;;;;;No;
;Ponencia;;Understanding the tension between inclusion and exclusion in Colombian educational policies: The emergence of voices of resistance from language teachers;Carmen Helena Guerrero Nieto;45 Congreso Anual de ASOCOPI;;Inglés;;;;;No;
;Ponencia;;Silent voices that make language polices work: A bottom up perspective about teachers' micropractices;Carmen Helena Guerrero Nieto;AILA 2017;2017;Inglés;;;;;No;
;Ponencia;;Non-native English Speaking teachers`subjectivities and Colombian Language policies: A Narrative study;Carmen Helena Guerrero Nieto;Lanzamiento Revista PROFILE;;Inglés;;;;;No;
;Ponencia;;Traces of coloniality in Colombian's LL: A multimodal discourse analysis of English Language Learning Advertisements;Carmen Helena Guerrero Nieto;X-SCAPES 2018;2018;Inglés;;;;;No;
;Ponencia;;Global Professional Identity: A critical dialogue between expert/novice Non-Native English Speaker Teachers;Carmen Helena Guerrero Nieto;AILA 2017;2017;Inglés;;;;;No;
;Ponencia;;Traces of coloniality in Colombia's Linguistic Landscape;Carmen Helena Guerrero Nieto;53th ASOCOPI Annual Conference;;Inglés;;;;;No;
;Ponencia;;The growth of an ELT association: From instrumental to transformative pedagogical and research agendas;Carmen Helena Guerrero Nieto;International Society for Language Studies;;Inglés;;;;;No;
;Ponencia;;Heterogeneous Term Sources for Translation;Diego Alberto Burgos Herrera;International Virtual Seminar: Current Topics on Translation;;Inglés;;;;;No;
;Ponencia;;Pattern and Seed-Based Approach for Multiword Term and Specialized Collocation Extraction;Diego Alberto Burgos Herrera;19th European Symposium on Languages for Special Purposes;;Inglés;;;;;No;
;Ponencia;;Delimitación terminológica a la velocidad de la luz;Diego Alberto Burgos Herrera;SLINKI 2015;2015;Español;;;;;No;
;Ponencia;;Exploring MWEs for knowledge acquisition from corporate technical documents;Diego Alberto Burgos Herrera;9th Workshop on Multiword Expressions;;Inglés;;;;;No;
;Ponencia;;Educación continuada de profesores universitarios en ambientes virtuales de aprendizaje;Luis Hernando Tamayo Cano;IV Congreso Internacional de Docencia Universitaria - CINDU;2015;Español;;;;;No;
;Ponencia;;Diseño, Implementación y Evaluación de un Curso virtual de Habilidades de Escucha en Lengua Inglesa para Estudiantes de Posgrado;Luis Hernando Tamayo Cano;Primer Simposio Colombiano sobre Uso de TIC en la Enseñanza de Lenguas Extranjeras;;Español;;;;;No;
;Ponencia;;Tools and Strategies for E-learning, a Workshop Combining Theory and Practice;Luis Hernando Tamayo Cano;7th International Symposium on Emerging Technologies for Online Learning;;Inglés;;;;;No;
;Ponencia;;Choosing the Most Suitable IT Tools for the EFL Class;Luis Hernando Tamayo Cano;10th National ETL Conference: Information Technology and ELT;;Inglés;;;;;No;
;Ponencia;;Práctica de Enseñanza con Uso de TIC;Luis Hernando Tamayo Cano;VirtualEduca 2013 - XIV Encuentro Internacional;2013;Español;;;;;No;
;Ponencia;;Retos en la edición de una revista plurilingüe: la experiencia de la revista IKALA;Luz Mery Orrego Orrego;Coloquio Internacional Construir modelos multilingües/plurilingües para la producción, difusión y enseñanza de los conocimientos;;Español;;;;;No;
;Ponencia;;Traducción y transferencia cultural en la reforma educativa radical en Colombia: descripción y análisis de La Escuela Normal (1871-1879);Paula Andrea Montoya Arango;IV Seminário Internacional de História da Tradução e Tradução Literária a Tradução Como História;;Español;;;;;No;
;Ponencia;;La construcción de un discurso pedagógico transnacional en Colombia durante el siglo XIX: fuentes, intercambios y agentes;Paula Andrea Montoya Arango;IV Seminário Internacional de História da Tradução e Tradução Literária a Tradução Como História;;Español;;;;;No;
;Ponencia;;Sin registro;Paula Andrea Montoya Arango;"Coloquio Internacional ""Dar sentido"". Tensiones socio-culturales y lingüísticas de la traducción";;;;;;;No;
;Ponencia;;Sin registro;Sergio Alonso Lopera Medina;XI Congreso Internacional ALED;;;;;;;No;
;Ponencia;;Colombia: a country rooted in cultural diversity;Sergio Alonso Lopera Medina;SXU HISPANIC HERITAGE MONTH;;Inglés;;;;;No;
;Ponencia;;Sin registro;Sergio Alonso Lopera Medina;VI Coloquio Internacional del Programa Edice;;;;;;;No;
;Ponencia;;Sin registro;Sergio Alonso Lopera Medina;Congreso internacional de investigación lingüística;;;;;;;No;
;Ponencia;;Sin registro;Sergio Alonso Lopera Medina;4th annual conference for Asocopi members;;;;;;;No;
;Ponencia;;Sin registro;Sergio Alonso Lopera Medina;Cuarto seminario internacional de desarrollo profesional de los docentes de lenguas extranjeras;;;;;;;No;
;Ponencia;;Sin registro;Sergio Alonso Lopera Medina;English Language Teaching Conference;;;;;;;No;
;Ponencia;;Diferencias linguísticas entre el cumplido y el piropo;Sergio Alonso Lopera Medina;II Congreso Internacional de Investigación Lingüística y III Coloquio Internacional de Argots;;Español;;;;;No;
;Ponencia;;Sin registro;Sergio Alonso Lopera Medina;Intercultural educational proposals promoting bilingual and multilingual teaching trajectories. Co-constructing teacher development in the 21st century;;;;;;;No;
;Ponencia;;Los piropos vulgares;Sergio Alonso Lopera Medina;XIII Congreso Internacional de Linguística General;;Español;;;;;No;
;Ponencia;;Language Certification Policy and Its Implications for FL Programs at the University Level;Edgar Picon Jácome;IX Encuentro de Universidades Formadoras de Licenciados en Lenguas Extranjeras, Universidad Industrial de Santander;2013;Inglés;;;;;;
;Ponencia;;Rubrics and Formative Assessment: Exploring EFL Teachers Practices;Edgar Picon Jácome;IX Encuentro de Universidades Formadoras de Licenciados en Lenguas Extranjeras, Universidad Industrial de Santander;2013;Inglés;;;;;;
;Ponencia;;Content and Performance Standards in Foreign Languages: A Collaborative Pedagogic Innovation;Edgar Picon Jácome;Asocopi 42nd Anual Conference: Teacher Development for Quality Assurance, Universidad de Caldas;2007;;;;;;;
;Ponencia;;Séptimo Encuentro de Universidades Formadoras de Licenciados en Lenguas Extranjeras;Edgar Picon Jácome;Growing Together in the Field of Classroom Assessment: A Preliminary Analysis on the Feasibility of Implementing Rubrics in an EFL Program, Universidad de Antioquia;2011;Inglés;;;;;;
;Ponencia;;Sin registro;Edgar Picon Jácome;11th ELT Conference - Centro Colombo Americano - Towards the Heart and Soul of Learning: Connecting Lives, Centro Colombo Americano;2000;;;;;;;
;Ponencia;;Evaluating Online Language Course Design and Implementation: The Case of the Online Language Courses for Postgraduate Students at Universidad de Antioquia;Edgar Picon Jácome;51st ASOCOPI Annual Conference: Technology in ELT, Colegio Champagnat;2016;Inglés;;;;;;
;Ponencia;;Teachers crafting foreign language education policy in higher education: The case of Universidad de Antioquia;Edgar Picon Jácome;XI Encuentro de Universidades Formadoras de Licenciados en Idiomas & II ELT Conference, Universidad del Valle;2016;Inglés;;;;;;
